ook 58129 0.009042 3
asd 27689 0.004307 3
iji 16955 0.002637 3
qwe 16846 0.002620 3
nji 16422 0.002555 3
hui 14123 0.002197 3
qaz 12600 0.001960 3
gyu 11948 0.001859 3
asdf 11113 0.001729 4
aaa 9421 0.001465 3
zxc 9279 0.001443 3
uji 8551 0.001330 3
qwer 6408 0.000997 4
ghu 6292 0.000979 3
wsx 6112 0.000951 3
www 5936 0.000923 3
nhu 5923 0.000921 3
nju 5577 0.000868 3
assw 5564 0.000866 4
aaaaaaaa 5547 0.000863 8
iju 5027 0.000782 3
llo 4485 0.000698 3
cde 4284 0.000666 3
uyu 4043 0.000629 3
iuy 3619 0.000563 3
qwertyuiop 3448 0.000536 10
zxcvbnm 3326 0.000517 7
qqqqqqqq 3296 0.000513 8
asdfghjkl 3216 0.000500 9
ass 3209 0.000499 3
ghui 3194 0.000497 4
edc 3161 0.000492 3
olo 3014 0.000469 3
iuji 2940 0.000457 4
err 2937 0.000457 3
jiu 2929 0.000456 3
ppl 2824 0.000439 3
ool 2823 0.000439 3
nhui 2735 0.000425 4
ess 2681 0.000417 3
awe 2632 0.000409 3
aaaa 2355 0.000366 4
huy 2247 0.000350 3
uju 2205 0.000343 3
der 2201 0.000342 3
ewe 2083 0.000324 3
huji 2043 0.000318 4
qwertyui 2035 0.000317 8
wer 1998 0.000311 3
zzz 1950 0.000303 3
opo 1946 0.000303 3
ser 1882 0.000293 3
qqq 1801 0.000280 3
ASD 1748 0.000272 3
jkl 1720 0.000268 3
dre 1683 0.000262 3
qwert 1673 0.000260 5
iuh 1619 0.000252 3
zxcv 1594 0.000248 4
xxx 1581 0.000246 3
lll 1570 0.000244 3
iuyu 1539 0.000239 4
ere 1489 0.000232 3
uhu 1463 0.000228 3
des 1400 0.000218 3
yuji 1386 0.000216 4
sdf 1378 0.000214 3
yuy 1344 0.000209 3
ert 1323 0.000206 3
sss 1279 0.000199 3
zzzzzzzz 1264 0.000197 8
huh 1264 0.000197 3
ccc 1229 0.000191 3
ede 1204 0.000187 3
yuh 1198 0.000186 3
red 1162 0.000181 3
asdfg 1157 0.000180 5
yyy 1156 0.000180 3
tty 1148 0.000179 3
awa 1141 0.000177 3
ssw 1140 0.000177 3
fgh 1138 0.000177 3
asa 1137 0.000177 3
free 1131 0.000176 4
QAZ 1104 0.000172 3
asdfghjk 1088 0.000169 8
ree 1076 0.000167 3
qwerty 1069 0.000166 6
uhui 1047 0.000163 4
QWE 1043 0.000162 3
ewa 1025 0.000159 3
huyu 1024 0.000159 4
oki 1009 0.000157 3
eer 979 0.000152 3
iuju 967 0.000150 4
erf 948 0.000147 3
kkk 935 0.000145 3
ase 925 0.000144 3
NJI 883 0.000137 3
aza 878 0.000137 3
wwwwwwww 863 0.000134 8
IJI 856 0.000133 3
ese 854 0.000133 3
ddd 841 0.000131 3
bbb 831 0.000129 3
zzx 812 0.000126 3
AAA 808 0.000126 3
zaq 801 0.000125 3
dsa 797 0.000124 3
HUI 790 0.000123 3
zxd 776 0.000121 3
iii 774 0.000120 3
oll 760 0.000118 3
hhh 757 0.000118 3
poi 734 0.000114 3
res 725 0.000113 3
mmm 720 0.000112 3
wasd 711 0.000111 4
zxx 710 0.000110 3
ggg 701 0.000109 3
huju 689 0.000107 4
wsw 685 0.000107 3
ZXC 683 0.000106 3
hyy 677 0.000105 3
iki 675 0.000105 3
wss 674 0.000105 3
ffffffff 669 0.000104 8
jjj 666 0.000104 3
